Skill Rank,Candidate ID,Ground Truth Label,Years of Experience,Matched Skill Count,Required Skill Count,Skill Score (%),Matched Skills,Missing Skills
1,Candidate_04,High,5,12,13,92.31,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile",Pandas
2,Candidate_07,High,7,11,13,84.62,"Python, SQL, Object-Oriented Programming, REST APIs, Docker, AWS, Machine Learning, Pandas, NumPy, Software Testing, Agile","Git, Scikit-learn"
3,Candidate_06,High,5,10,13,76.92,"SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile","Python, Machine Learning, Scikit-learn"
4,Candidate_01,High,7,9,13,69.23,"Python, Object-Oriented Programming, REST APIs, Git, Docker, NumPy, Scikit-learn, Software Testing, Agile","SQL, AWS, Machine Learning, Pandas"
5,Candidate_02,High,6,9,13,69.23,"Python, SQL, REST APIs, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, Machine Learning, NumPy"
6,Candidate_05,High,6,9,13,69.23,"Python, SQL, REST APIs, Git, AWS, Machine Learning, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, Pandas, NumPy"
7,Candidate_03,High,4,9,13,69.23,"Python, SQL, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, Software Testing, Agile","REST APIs, Pandas, NumPy, Scikit-learn"
8,Candidate_09,Medium,4,9,13,69.23,"Python, SQL, Object-Oriented Programming, REST APIs, Git, AWS, Machine Learning, Pandas, Software Testing","Docker, NumPy, Scikit-learn, Agile"
9,Candidate_13,Medium,2,9,13,69.23,"Python, SQL, Object-Oriented Programming, Git, Docker, Pandas, NumPy, Software Testing, Agile","REST APIs, AWS, Machine Learning, Scikit-learn"
10,Candidate_08,Medium,3,8,13,61.54,"SQL, Object-Oriented Programming, REST APIs, Git, Pandas, NumPy, Software Testing, Agile","Python, Docker, AWS, Machine Learning, Scikit-learn"
11,Candidate_11,Medium,3,8,13,61.54,"Python, SQL, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, REST APIs, Docker, Machine Learning, NumPy"
12,Candidate_14,Medium,2,8,13,61.54,"Python, SQL, REST APIs, Git, NumPy, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, Docker, AWS, Machine Learning, Pandas"
13,Candidate_10,Medium,4,7,13,53.85,"SQL, Git, AWS, NumPy, Scikit-learn, Software Testing, Agile","Python, Object-Oriented Programming, REST APIs, Docker, Machine Learning, Pandas"
14,Candidate_12,Medium,4,7,13,53.85,"Python, SQL, Object-Oriented Programming, Git, Machine Learning, Pandas, Software Testing","REST APIs, Docker, AWS, NumPy, Scikit-learn, Agile"
15,Candidate_16,Low,1,4,13,30.77,"REST APIs, Git, Pandas, Agile","Python, SQL, Object-Oriented Programming, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing"
16,Candidate_17,Low,1,4,13,30.77,"SQL, REST APIs, Machine Learning, Pandas","Python, Object-Oriented Programming, Git, Docker, AWS, NumPy, Scikit-learn, Software Testing, Agile"
17,Candidate_20,Low,0,3,13,23.08,"SQL, REST APIs, Pandas","Python, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile"
18,Candidate_15,Low,2,2,13,15.38,"Machine Learning, Scikit-learn","Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile"
19,Candidate_18,Low,0,1,13,7.69,NumPy,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, Scikit-learn, Software Testing, Agile"
20,Candidate_19,Low,0,1,13,7.69,Software Testing,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, NumPy, Scikit-learn, Agile"
